B1,,,
to BAY RIDGE 4 AV,STOPID,lat,lon
MACKENZIE LOOP (no G-A-R: use 300000),901473,40.578247,-73.939743
ORIENTAL BL/MACKENZIE ST,300000,40.578251,-73.939743
ORIENTAL BL/JAFFRAY ST,300002,40.578068,-73.943031
ORIENTAL BL/HASTINGS ST,300003,40.577961,-73.944664
ORIENTAL BL/FALMOUTH ST,300004,40.577721,-73.946205
ORIENTAL BL/DOVER ST,300006,40.577354,-73.949554
ORIENTAL BL/BEAUMONT ST,300007,40.577148,-73.951385
ORIENTAL BL/WEST END AV,300008,40.577003,-73.952721
BRIGHTON BEACH AV/CORBIN PL,300009,40.577461,-73.954407
BRIGHTON BEACH AV/BRIGHTON 14 ST,300010,40.577957,-73.956383
BRIGHTON BEACH AV/BRIGHTON 12 ST,300011,40.578369,-73.958176
BRIGHTON BEACH AV/CONEY ISLAND AV,300012,40.5779,-73.960205
BRIGHTON BEACH AV/BRIGHTON 5 ST,300013,40.577404,-73.962837
BRIGHTON BEACH AV/BRIGHTON 3 ST,300014,40.577034,-73.9646
BRIGHTON BEACH AV/BRIGHTON 1 PL,300122,40.576641,-73.966354
BRIGHTON BEACH AV/OCEAN PY,300016,40.576424,-73.967438
OCEAN PY/OCEAN VIEW AV,300017,40.578739,-73.96785
OCEAN PY/NEPTUNE AV,300018,40.580219,-73.967567
OCEAN PY/WEST AV,300019,40.581417,-73.967278
OCEAN PY/SHORE PY,300020,40.585468,-73.96624
AV X/OCEAN PY,306370,40.591099,-73.965805
AV X/E 2 ST,300022,40.590771,-73.968781
AV X/WEST ST,300023,40.590565,-73.970627
AV X/W 2 ST,300024,40.590343,-73.97261
AV X/MC DONALD AV,300025,40.590191,-73.973999
86 ST/VAN SICKLEN ST,300026,40.591331,-73.976112
86 ST/W 7 ST,308183,40.592442,-73.977974
86 ST/W 9 ST,300028,40.593826,-73.98024
86 ST/W 11 ST,300029,40.595116,-73.982376
86 ST/AV U,300030,40.595741,-73.983414
86 ST/STILLWELL AV,300031,40.596752,-73.985245
86 ST/25 AV,300032,40.597874,-73.987053
86 ST/24 AV,300033,40.599205,-73.989227
86 ST/23 AV,300034,40.600525,-73.991425
86 ST/BAY PY,300035,40.601879,-73.993637
86 ST/21 AV,300036,40.603241,-73.995903
86 ST/20 AV,300037,40.604568,-73.998093
86 ST/19 AV,300038,40.6059,-74.000298
86 ST/NEW UTRECHT AV,300039,40.606289,-74.000862
86 ST/18 AV,300040,40.607723,-74.003258
86 ST/17 AV,300041,40.608868,-74.005119
86 ST/15 AV,300043,40.611706,-74.009827
86 ST/14 AV,300044,40.61322,-74.012413
86 ST/13 AV,300045,40.614063,-74.013725
86 ST/12 AV,305503,40.615665,-74.01638
86 ST/11 AV,305504,40.616993,-74.018578
86 ST/7 AV,305505,40.618778,-74.021538
86 ST/FT HAMILTON PY,307501,40.620731,-74.024773
5 AV/86 ST,305460,40.621231,-74.026527
87 ST/4 AV,901295,40.621841,-74.028366
