B1,,,
to MANHATTAN BEACH KINGSBORO CC,STOPID,lat,lon
87 ST/4 Av,308644,40.621925,-74.028496
86 ST/4 AV,301614,40.622299,-74.027695
86 ST/5 AV,301615,40.621292,-74.026108
86 ST/FT HAMILTON PY,305511,40.620152,-74.024178
86 ST/DAHLGREN PL,305512,40.619301,-74.022766
86 ST/7 AV,305513,40.618176,-74.020912
86 ST/11 AV,305514,40.616501,-74.018143
86 ST/12 AV,305515,40.615395,-74.016312
86 ST/13 AV,300094,40.613804,-74.013664
86 ST/14 AV,300095,40.612728,-74.011826
86 ST/15 AV,300096,40.611115,-74.009224
86 ST/16 AV,300097,40.610088,-74.007515
86 ST/17 AV,300098,40.60833,-74.004601
86 ST/18 AV,300099,40.606983,-74.00238
86 ST/19 AV,300100,40.605961,-74.00061
86 ST/20 AV,300101,40.60461,-73.998367
86 ST/21 AV,300102,40.603329,-73.996239
86 ST/BAY PY,300103,40.601986,-73.994003
86 ST/23 AV,300104,40.600616,-73.991745
86 ST/24 AV,300105,40.599308,-73.989578
86 ST/25 AV,300106,40.597954,-73.987335
86 ST/STILLWELL AV,306457,40.596741,-73.985291
86 ST/AV U,300107,40.595562,-73.98349
86 ST/AV V,300109,40.593719,-73.980431
86 ST/W 8 ST,300110,40.592785,-73.978889
86 ST/AV W,300111,40.591682,-73.977051
AV X/SHELL RD,307132,40.590149,-73.973534
AV X/W 1 ST,300113,40.590412,-73.97081
AV X/E 1 ST,300114,40.590626,-73.968887
AV X/E 3 ST,300115,40.590816,-73.967102
AV X/OCEAN PY,300116,40.590996,-73.965546
OCEAN PKY/SHORE PKY,300117,40.584782,-73.966957
OCEAN PY/WEST AV,300118,40.581615,-73.9674
OCEAN PY/NEPTUNE AV,300119,40.580509,-73.967697
OCEAN PY/OCEAN VIEW AV,300120,40.578152,-73.968239
BRIGHTON BEACH AV/OCEAN PY,307942,40.576218,-73.967606
BRIGHTON BEACH AV/BRIGHTON 1 PL,305775,40.576653,-73.965446
BRIGHTON BEACH AV/BRIGHTON 3 ST,300123,40.577011,-73.963783
BRIGHTON BEACH AV/BRIGHTON 6 ST,300124,40.577488,-73.961533
BRIGHTON BEACH/CONEY ISLAND AV,308045,40.577953,-73.959679
BRIGHTON BEACH AV/BRIGHTON 12 ST,300126,40.578159,-73.95771
BRIGHTON BEACH AV/BRIGHTON 14 ST,300127,40.57745,-73.955376
BRIGHTON BEACH AV/CORBIN PL,300128,40.577278,-73.954094
ORIENTAL BL/WEST END AV,300129,40.576756,-73.953049
ORIENTAL BL/BEAUMONT ST,300130,40.577034,-73.950539
ORIENTAL BL/DOVER ST,300131,40.577221,-73.948807
ORIENTAL BL/OCEAN AV,300132,40.577374,-73.947395
ORIENTAL BL/HASTINGS ST,308351,40.577747,-73.944
ORIENTAL BL/KENSINGTON ST,300135,40.578056,-73.941231
ORIENTAL BL/MACKENZIE ST,901472,40.578094,-73.94017
