Kingsborough Community College;0:20;Bightn Bch Av/ Coney Is Av;0:00; 86 St/ Stillwell Av;0:16;86 St/ 18 Av;0:04;87 St/ 4 Av;0:11
300000;1:00;300012;0:25;300031;0:41;300040;0:24;901295;0:31
To Bay Ridge;1:40;;1:04;;1:18;;0:48;;0:55
;2:20;;1:44;;1:58;;1:24;;1:30
;3:00;;2:24;;2:38;;2:04;;2:10
;3:40;;3:04;;3:18;;2:44;;2:50
;4:20;;3:44;;3:58;;3:24;;3:30
;4:40;;4:24;;4:38;;4:04;;4:10
;5:00;;4:44;;4:58;;4:44;;4:50
;5:15;;5:05;;5:20;;5:04;;5:15
;5:30;;5:20;;5:35;;5:29;;5:40
;5:45;;5:35;;5:50;;5:44;;5:55
;6:00;;5:50;;6:06;;5:59;;6:10
;6:15;;6:05;;6:23;;6:15;;6:27
;6:27;;6:20;;6:39;;6:32;;6:44
;6:37;;6:32;;6:51;;6:49;;7:01
;6:47;;6:43;;7:02;;7:01;;7:15
;6:57;;6:53;;7:13;;7:13;;7:27
;7:07;;7:03;;7:25;;7:24;;7:38
;7:16;;7:14;;7:36;;7:36;;7:50
;7:24;;7:23;;7:46;;7:48;;8:02
;7:32;;7:31;;7:55;;7:58;;8:12
;7:40;;7:39;;8:03;;8:07;;8:21
;7:48;;7:47;;8:11;;8:15;;8:29
;7:57;;7:55;;8:19;;8:23;;8:37
;8:07;;8:04;;8:28;;8:31;;8:45
;8:17;;8:14;;8:38;;8:40;;8:54
;8:27;;8:24;;8:48;;8:50;;9:04
;8:37;;8:34;;8:58;;9:00;;9:14
;8:47;;8:44;;9:08;;9:10;;9:24
;8:57;;8:54;;9:18;;9:20;;9:34
;9:07;;9:04;;9:28;;9:30;;9:44
;9:17;;9:14;;9:38;;9:40;;9:54
;9:27;;9:24;;9:48;;9:50;;10:04
;9:37;;9:34;;9:58;;10:00;;10:14
;9:47;;9:44;;10:08;;10:10;;10:24
;9:57;;9:54;;10:18;;10:20;;10:34
;10:07;;10:04;;10:28;;10:30;;10:44
;10:17;;10:14;;10:38;;10:40;;10:54
;10:27;;10:24;;10:48;;10:50;;11:04
;10:37;;10:34;;10:58;;11:00;;11:13
