Bay Ridge 86 St/ 4Av;0:00;86St/ 18Av;0:10; 86 St/ Stillwell Av;0:17;Brighton Ach Av/ coney island Av;0:13;KCC;0:00
301614;0:30;300099;0:40;306457;0:47;308045;0:34;901472;0:17
TO Kcc;1:00;;1:10;;1:17;;1:04;;0:38
;1:38;;1:48;;1:54;;1:34;;1:08
;2:18;;2:28;;2:34;;2:09;;1:38
;2:58;;3:08;;3:14;;2:49;;2:13
;3:38;;3:48;;3:54;;3:29;;2:53
;4:18;;4:28;;4:34;;4:09;;3:33
;4:58;;5:08;;5:15;;4:49;;4:13
;5:28;;5:38;;5:45;;5:34;;4:53
;5:58;;6:08;;6:17;;6:04;;5:38
;6:13;;6:26;;6:50;;6:38;;6:08
;6:28;;6:41;;7:01;;6:56;;6:42
;6:39;;6:52;;7:13;;7:11;;7:00
;6:49;;7:02;;7:21;;7:27;;7:16
;6:57;;7:10;;7:28;;7:31;;7:32
;7:05;;7:17;;7:36;;7:39;;7:36
;7:13;;7:25;;7:43;;7:47;;7:44
;7:20;;7:32;;7:48;;7:54;;7:52
;7:25;;7:37;;7:53;;7:56;;7:59
;7:30;;7:42;;7:58;;8:02;;8:01
;7:35;;7:47;;8:03;;8:09;;8:07
;7:40;;7:52;;8:07;;8:14;;8:14
;7:44;;7:56;;8:10;;8:17;;8:19
;7:47;;7:59;;8:14;;8:19;;8:22
;7:51;;8:03;;8:17;;8:24;;8:24
;7:54;;8:06;;8:21;;8:27;;8:29
;7:58;;8:10;;8:24;;8:29;;8:32
;8:01;;8:13;;8:28;;8:33;;8:34
;8:05;;8:17;;8:32;;8:36;;8:38
;8:09;;8:21;;8:36;;8:40;;8:41
;8:13;;8:25;;8:40;;8:43;;8:45
;8:17;;8:29;;8:47;;8:44;;8:48
;8:24;;8:36;;8:54;;8:47;;8:49
;8:31;;8:43;;9:01;;8:50;;8:52
;8:38;;8:50;;9:08;;8:54;;8:55
;8:45;;8:57;;9:15;;8:55;;8:59
;8:52;;9:04;;9:23;;8:58;;9:00
;9:00;;9:12;;9:31;;9:02;;9:03
;9:08;;9:20;;9:39;;9:06;;9:07
;9:16;;9:28;;9:47;;9:13;;9:11
;9:24;;9:36;;9:50;;9:20;;9:18
;9:32;;9:44;;9:55;;9:27;;9:25
;9:40;;9:52;;10:03;;9:34;;9:32
;9:50;;10:02;;10:14;;9:41;;9:39
;10:00;;10:17;;10:29;;9:49;;9:46
;10:10;;10:27;;10:39;;9:57;;9:54
;10:20;;10:37;;10:49;;10:05;;10:02
;10:30;;10:47;;10:59;;10:13;;10:10
;10:40;;10:57;;11:09;;10:16;;10:18
;10:50;;11:07;;11:19;;10:22;;10:21
;11:00;;11:17;;11:29;;10:26;;10:27
;11:10;;11:27;;11:39;;10:29;;10:31
;11:20;;11:37;;11:49;;10:36;;10:34
;11:30;;11:47;;11:59;;10:40;;10:41
;11:40;;11:57;;12:09;;10:46;;10:45
;11:50;;12:07;;12:19;;10:55;;10:51
;12:00;;12:17;;12:29;;10:57;;11:00
;12:10;;12:27;;12:39;;11:05;;11:02
;12:20;;12:37;;12:49;;11:15;;11:10
;12:30;;12:47;;12:59;;11:25;;11:20
;12:40;;12:57;;13:09;;11:35;;11:30
;12:50;;13:07;;13:19;;11:45;;11:40
;13:00;;13:17;;13:29;;11:55;;11:50
;13:10;;13:27;;13:49;;12:05;;12:00
;13:20;;13:37;;13:59;;12:15;;12:10
;13:30;;13:47;;14:09;;12:25;;12:20
;13:40;;13:57;;14:19;;12:35;;12:30
;13:50;;14:07;;14:29;;12:45;;12:40
;14:00;;14:17;;14:39;;12:55;;12:50
;14:10;;14:27;;14:49;;13:05;;13:00
;14:20;;14:37;;14:59;;13:15;;13:10
;14:30;;14:47;;15:09;;13:25;;13:20
;14:40;;14:57;;15:19;;13:35;;13:30
;14:50;;15:07;;15:29;;13:45;;13:40
;15:00;;15:17;;15:39;;13:55;;13:50
;15:10;;15:27;;15:49;;14:05;;14:00
;15:20;;15:37;;15:59;;14:15;;14:10
;15:30;;15:47;;16:09;;14:25;;14:20
;15:40;;15:57;;16:19;;14:35;;14:30
;15:50;;16:07;;16:29;;14:45;;14:40
;16:00;;16:17;;16:37;;14:55;;14:50
;16:08;;16:25;;16:45;;15:05;;15:00
;16:16;;16:33;;16:53;;15:15;;15:10
;16:24;;16:41;;17:01;;15:25;;15:20
;16:32;;16:49;;17:09;;15:35;;15:30
;16:40;;16:57;;17:17;;15:45;;15:40
;16:48;;17:05;;17:25;;15:55;;15:50
;16:56;;17:13;;17:32;;16:05;;16:00
;17:03;;17:20;;17:40;;16:15;;16:10
;17:11;;17:28;;17:50;;16:25;;16:20
;17:18;;17:35;;17:58;;16:35;;16:30
;17:26;;17:43;;18:05;;16:45;;16:40
;17:33;;17:50;;18:13;;16:55;;16:50
;17:41;;17:58;;18:22;;17:03;;17:00
;17:50;;18:07;;18:30;;17:11;;17:08
;17:58;;18:15;;18:39;;17:19;;17:16
;18:07;;18:24;;18:47;;17:27;;17:24
;18:16;;18:33;;18:55;;17:35;;17:32
;18:24;;18:41;;19:03;;17:43;;17:40
;18:33;;18:49;;19:11;;17:51;;17:48
;18:41;;18:57;;19:18;;17:58;;17:56
;18:50;;19:06;;19:26;;18:06;;18:03
;18:58;;19:14;;19:33;;18:16;;18:11
;19:07;;19:21;;19:41;;18:24;;18:21
;19:15;;19:29;;19:50;;18:31;;18:29
;19:24;;19:38;;19:57;;18:39;;18:36
;19:32;;19:45;;20:06;;18:48;;18:44
;19:41;;19:54;;20:14;;18:53;;18:53
;19:49;;20:02;;20:22;;19:02;;18:58
;19:57;;20:10;;20:30;;19:10;;19:07
;20:05;;20:18;;20:38;;19:17;;19:15
;20:13;;20:26;;20:44;;19:25;;19:22
;20:21;;20:34;;20:44;;19:33;;19:30
;20:29;;20:42;;20:52;;19:40;;19:38
;20:37;;20:49;;20:52;;19:47;;19:45
;20:45;;20:57;;20:59;;19:53;;19:52
